"Alue,""Sukupuoli"",""Koulutusaste"",""15 vuotta tayttaneet yhteensa 2021"",""15-24-vuotiaat 2021"",""25-44-vuotiaat 2021"",""45-64-vuotiaat 2021"",""Yli 65-vuotiaat 2021"""
"091 281 Pirkkola,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",334,14,67,135,118"
"091 281 Pirkkola,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",114,13,29,40,32"
"091 281 Pirkkola,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",76,1,17,27,31"
"091 281 Pirkkola,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",144,0,21,68,55"
"091 281 Pirkkola,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",76,32,6,10,28"
"091 281 Pirkkola,""Miehet"",""Kaikki koulutusasteet"",208,29,38,67,74"
"091 281 Pirkkola,""Miehet"",""Tutkinnon suorittaneita yhteensa"",163,8,33,61,61"
"091 281 Pirkkola,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",66,8,16,26,16"
"091 281 Pirkkola,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",32,0,7,12,13"
"091 281 Pirkkola,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",65,0,10,23,32"
"091 281 Pirkkola,""Miehet"",""Perusaste tai tuntematon"",45,21,5,6,13"
"091 281 Pirkkola,""Naiset"",""Kaikki koulutusasteet"",202,17,35,78,72"
"091 281 Pirkkola,""Naiset"",""Tutkinnon suorittaneita yhteensa"",171,6,34,74,57"
"091 281 Pirkkola,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",48,5,13,14,16"
"091 281 Pirkkola,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",44,1,10,15,18"
"091 281 Pirkkola,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",79,0,11,45,23"
"091 281 Pirkkola,""Naiset"",""Perusaste tai tuntematon"",31,11,1,4,15"
"091 282 Maunula,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",6291,595,2233,1765,1698"
"091 282 Maunula,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",4530,253,1894,1398,985"
"091 282 Maunula,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",2120,220,788,641,471"
"091 282 Maunula,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",1231,32,532,360,307"
"091 282 Maunula,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",1179,1,574,397,207"
"091 282 Maunula,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",1761,342,339,367,713"
"091 282 Maunula,""Miehet"",""Kaikki koulutusasteet"",2899,298,1118,857,626"
"091 282 Maunula,""Miehet"",""Tutkinnon suorittaneita yhteensa"",2061,123,897,651,390"
"091 282 Maunula,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1095,118,434,348,195"
"091 282 Maunula,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",471,5,235,139,92"
"091 282 Maunula,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",495,0,228,164,103"
"091 282 Maunula,""Miehet"",""Perusaste tai tuntematon"",838,175,221,206,236"
"091 282 Maunula,""Naiset"",""Kaikki koulutusasteet"",3392,297,1115,908,1072"
"091 282 Maunula,""Naiset"",""Tutkinnon suorittaneita yhteensa"",2469,130,997,747,595"
"091 282 Maunula,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1025,102,354,293,276"
"091 282 Maunula,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",760,27,297,221,215"
"091 282 Maunula,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",684,1,346,233,104"
"091 282 Maunula,""Naiset"",""Perusaste tai tuntematon"",923,167,118,161,477"
"091 283 Metsala,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",940,126,301,336,177"
"091 283 Metsala,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",753,37,267,299,150"
"091 283 Metsala,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",211,36,83,69,23"
"091 283 Metsala,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",229,1,69,92,67"
"091 283 Metsala,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",313,0,115,138,60"
"091 283 Metsala,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",187,89,34,37,27"
"091 283 Metsala,""Miehet"",""Kaikki koulutusasteet"",471,72,151,171,77"
"091 283 Metsala,""Miehet"",""Tutkinnon suorittaneita yhteensa"",360,21,126,145,68"
"091 283 Metsala,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",120,21,55,36,8"
"091 283 Metsala,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",97,0,24,45,28"
"091 283 Metsala,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",143,0,47,64,32"
"091 283 Metsala,""Miehet"",""Perusaste tai tuntematon"",111,51,25,26,9"
"091 283 Metsala,""Naiset"",""Kaikki koulutusasteet"",469,54,150,165,100"
"091 283 Metsala,""Naiset"",""Tutkinnon suorittaneita yhteensa"",393,16,141,154,82"
"091 283 Metsala,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",91,15,28,33,15"
"091 283 Metsala,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",132,1,45,47,39"
"091 283 Metsala,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",170,0,68,74,28"
"091 283 Metsala,""Naiset"",""Perusaste tai tuntematon"",76,38,9,11,18"
"091 286 Maunulanpuisto,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",..,..,..,..,.."
"091 286 Maunulanpuisto,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",..,..,..,..,.."
"091 286 Maunulanpuisto,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",..,..,..,..,.."
"091 286 Maunulanpuisto,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",..,..,..,..,.."
"091 286 Maunulanpuisto,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",..,..,..,..,.."
"091 286 Maunulanpuisto,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",..,..,..,..,.."
"091 286 Maunulanpuisto,""Miehet"",""Kaikki koulutusasteet"",..,..,..,..,.."
"091 286 Maunulanpuisto,""Miehet"",""Tutkinnon suorittaneita yhteensa"",..,..,..,..,.."
"091 286 Maunulanpuisto,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",..,..,..,..,.."
"091 286 Maunulanpuisto,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",..,..,..,..,.."
"091 286 Maunulanpuisto,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",..,..,..,..,.."
"091 286 Maunulanpuisto,""Miehet"",""Perusaste tai tuntematon"",..,..,..,..,.."
"091 286 Maunulanpuisto,""Naiset"",""Kaikki koulutusasteet"",..,..,..,..,.."
"091 286 Maunulanpuisto,""Naiset"",""Tutkinnon suorittaneita yhteensa"",..,..,..,..,.."
"091 286 Maunulanpuisto,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",..,..,..,..,.."
"091 286 Maunulanpuisto,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",..,..,..,..,.."
"091 286 Maunulanpuisto,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",..,..,..,..,.."
"091 286 Maunulanpuisto,""Naiset"",""Perusaste tai tuntematon"",..,..,..,..,.."
"091 402 Lansi-Pakilan peruspiiri,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",5690,644,1480,1972,1594"
"091 402 Lansi-Pakilan peruspiiri,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",4718,203,1376,1846,1293"
"091 402 Lansi-Pakilan peruspiiri,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1268,194,335,401,338"
"091 402 Lansi-Pakilan peruspiiri,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",1487,8,403,575,501"
"091 402 Lansi-Pakilan peruspiiri,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",1963,1,638,870,454"
"091 402 Lansi-Pakilan peruspiiri,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",972,441,104,126,301"
"091 402 Lansi-Pakilan peruspiiri,""Miehet"",""Kaikki koulutusasteet"",2810,346,739,974,751"
"091 402 Lansi-Pakilan peruspiiri,""Miehet"",""Tutkinnon suorittaneita yhteensa"",2289,110,661,886,632"
"091 402 Lansi-Pakilan peruspiiri,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",680,106,215,226,133"
"091 402 Lansi-Pakilan peruspiiri,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",666,4,169,270,223"
"091 402 Lansi-Pakilan peruspiiri,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",943,0,277,390,276"
"091 402 Lansi-Pakilan peruspiiri,""Miehet"",""Perusaste tai tuntematon"",521,236,78,88,119"
"091 402 Lansi-Pakilan peruspiiri,""Naiset"",""Kaikki koulutusasteet"",2880,298,741,998,843"
"091 402 Lansi-Pakilan peruspiiri,""Naiset"",""Tutkinnon suorittaneita yhteensa"",2429,93,715,960,661"
"091 402 Lansi-Pakilan peruspiiri,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",588,88,120,175,205"
"091 402 Lansi-Pakilan peruspiiri,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",821,4,234,305,278"
"091 402 Lansi-Pakilan peruspiiri,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",1020,1,361,480,178"
"091 402 Lansi-Pakilan peruspiiri,""Naiset"",""Perusaste tai tuntematon"",451,205,26,38,182"
"091 341 Lansi-Pakila,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",5690,644,1480,1972,1594"
"091 341 Lansi-Pakila,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",4718,203,1376,1846,1293"
"091 341 Lansi-Pakila,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1268,194,335,401,338"
"091 341 Lansi-Pakila,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",1487,8,403,575,501"
"091 341 Lansi-Pakila,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",1963,1,638,870,454"
"091 341 Lansi-Pakila,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",972,441,104,126,301"
"091 341 Lansi-Pakila,""Miehet"",""Kaikki koulutusasteet"",2810,346,739,974,751"
"091 341 Lansi-Pakila,""Miehet"",""Tutkinnon suorittaneita yhteensa"",2289,110,661,886,632"
"091 341 Lansi-Pakila,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",680,106,215,226,133"
"091 341 Lansi-Pakila,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",666,4,169,270,223"
"091 341 Lansi-Pakila,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",943,0,277,390,276"
"091 341 Lansi-Pakila,""Miehet"",""Perusaste tai tuntematon"",521,236,78,88,119"
"091 341 Lansi-Pakila,""Naiset"",""Kaikki koulutusasteet"",2880,298,741,998,843"
"091 341 Lansi-Pakila,""Naiset"",""Tutkinnon suorittaneita yhteensa"",2429,93,715,960,661"
"091 341 Lansi-Pakila,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",588,88,120,175,205"
"091 341 Lansi-Pakila,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",821,4,234,305,278"
"091 341 Lansi-Pakila,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",1020,1,361,480,178"
"091 341 Lansi-Pakila,""Naiset"",""Perusaste tai tuntematon"",451,205,26,38,182"
"091 403 Tuomarinkylan peruspiiri,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",6804,818,1916,2431,1639"
"091 403 Tuomarinkylan peruspiiri,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",5584,248,1786,2248,1302"
"091 403 Tuomarinkylan peruspiiri,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1637,238,511,513,375"
"091 403 Tuomarinkylan peruspiiri,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",1793,9,529,739,516"
"091 403 Tuomarinkylan peruspiiri,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",2154,1,746,996,411"
"091 403 Tuomarinkylan peruspiiri,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",1220,570,130,183,337"
"091 403 Tuomarinkylan peruspiiri,""Miehet"",""Kaikki koulutusasteet"",3295,449,896,1167,783"
"091 403 Tuomarinkylan peruspiiri,""Miehet"",""Tutkinnon suorittaneita yhteensa"",2663,133,819,1059,652"
"091 403 Tuomarinkylan peruspiiri,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",886,129,296,289,172"
"091 403 Tuomarinkylan peruspiiri,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",753,4,211,298,240"
"091 403 Tuomarinkylan peruspiiri,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",1024,0,312,472,240"
"091 403 Tuomarinkylan peruspiiri,""Miehet"",""Perusaste tai tuntematon"",632,316,77,108,131"
"091 403 Tuomarinkylan peruspiiri,""Naiset"",""Kaikki koulutusasteet"",3509,369,1020,1264,856"
"091 403 Tuomarinkylan peruspiiri,""Naiset"",""Tutkinnon suorittaneita yhteensa"",2921,115,967,1189,650"
"091 403 Tuomarinkylan peruspiiri,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",751,109,215,224,203"
"091 403 Tuomarinkylan peruspiiri,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",1040,5,318,441,276"
"091 403 Tuomarinkylan peruspiiri,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",1130,1,434,524,171"
"091 403 Tuomarinkylan peruspiiri,""Naiset"",""Perusaste tai tuntematon"",588,254,53,75,206"
"091 351 Paloheina,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",4649,542,1250,1677,1180"
"091 351 Paloheina,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",3892,161,1177,1580,974"
"091 351 Paloheina,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1018,155,288,313,262"
"091 351 Paloheina,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",1248,5,345,518,380"
"091 351 Paloheina,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",1626,1,544,749,332"
"091 351 Paloheina,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",757,381,73,97,206"
"091 351 Paloheina,""Miehet"",""Kaikki koulutusasteet"",2268,301,587,812,568"
"091 351 Paloheina,""Miehet"",""Tutkinnon suorittaneita yhteensa"",1872,85,542,754,491"
"091 351 Paloheina,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",556,82,176,186,112"
"091 351 Paloheina,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",530,3,132,213,182"
"091 351 Paloheina,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",786,0,234,355,197"
"091 351 Paloheina,""Miehet"",""Perusaste tai tuntematon"",396,216,45,58,77"
"091 351 Paloheina,""Naiset"",""Kaikki koulutusasteet"",2381,241,663,865,612"
"091 351 Paloheina,""Naiset"",""Tutkinnon suorittaneita yhteensa"",2020,76,635,826,483"
"091 351 Paloheina,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",462,73,112,127,150"
"091 351 Paloheina,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",718,2,213,305,198"
"091 351 Paloheina,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",840,1,310,394,135"
"091 351 Paloheina,""Naiset"",""Perusaste tai tuntematon"",361,165,28,39,129"
"091 352 Torpparinmaki,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",2147,276,665,749,457"
"091 352 Torpparinmaki,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",1686,87,608,663,328"
"091 352 Torpparinmaki,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",614,83,222,196,113"
"091 352 Torpparinmaki,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",544,4,184,220,136"
"091 352 Torpparinmaki,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",528,0,202,247,79"
"091 352 Torpparinmaki,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",461,189,57,86,129"
"091 352 Torpparinmaki,""Miehet"",""Kaikki koulutusasteet"",1021,148,308,352,213"
"091 352 Torpparinmaki,""Miehet"",""Tutkinnon suorittaneita yhteensa"",787,48,276,302,161"
"091 352 Torpparinmaki,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",326,47,119,100,60"
"091 352 Torpparinmaki,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",223,1,79,85,58"
"091 352 Torpparinmaki,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",238,0,78,117,43"
"091 352 Torpparinmaki,""Miehet"",""Perusaste tai tuntematon"",234,100,32,50,52"
"091 352 Torpparinmaki,""Naiset"",""Kaikki koulutusasteet"",1126,128,357,397,244"
"091 352 Torpparinmaki,""Naiset"",""Tutkinnon suorittaneita yhteensa"",899,39,332,361,167"
"091 352 Torpparinmaki,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",288,36,103,96,53"
"091 352 Torpparinmaki,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",321,3,105,135,78"
"091 352 Torpparinmaki,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",290,0,124,130,36"
"091 352 Torpparinmaki,""Naiset"",""Perusaste tai tuntematon"",227,89,25,36,77"
"091 354 Haltiala,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",..,..,..,..,.."
"091 354 Haltiala,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",..,..,..,..,.."
"091 354 Haltiala,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",..,..,..,..,.."
"091 354 Haltiala,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",..,..,..,..,.."
"091 354 Haltiala,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",..,..,..,..,.."
"091 354 Haltiala,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",..,..,..,..,.."
"091 354 Haltiala,""Miehet"",""Kaikki koulutusasteet"",..,..,..,..,.."
"091 354 Haltiala,""Miehet"",""Tutkinnon suorittaneita yhteensa"",..,..,..,..,.."
"091 354 Haltiala,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",..,..,..,..,.."
"091 354 Haltiala,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",..,..,..,..,.."
"091 354 Haltiala,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",..,..,..,..,.."
"091 354 Haltiala,""Miehet"",""Perusaste tai tuntematon"",..,..,..,..,.."
"091 354 Haltiala,""Naiset"",""Kaikki koulutusasteet"",..,..,..,..,.."
"091 354 Haltiala,""Naiset"",""Tutkinnon suorittaneita yhteensa"",..,..,..,..,.."
"091 354 Haltiala,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",..,..,..,..,.."
"091 354 Haltiala,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",..,..,..,..,.."
"091 354 Haltiala,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",..,..,..,..,.."
"091 354 Haltiala,""Naiset"",""Perusaste tai tuntematon"",..,..,..,..,.."
"091 404 Oulunkylan peruspiiri,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",12171,1322,4632,3362,2855"
"091 404 Oulunkylan peruspiiri,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",9566,586,4042,2908,2030"
"091 404 Oulunkylan peruspiiri,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",3516,517,1319,967,713"
"091 404 Oulunkylan peruspiiri,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",2931,67,1221,919,724"
"091 404 Oulunkylan peruspiiri,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",3119,2,1502,1022,593"
"091 404 Oulunkylan peruspiiri,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",2605,736,590,454,825"
"091 404 Oulunkylan peruspiiri,""Miehet"",""Kaikki koulutusasteet"",5639,651,2237,1606,1145"
"091 404 Oulunkylan peruspiiri,""Miehet"",""Tutkinnon suorittaneita yhteensa"",4391,276,1887,1356,872"
"091 404 Oulunkylan peruspiiri,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1801,254,748,522,277"
"091 404 Oulunkylan peruspiiri,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",1178,21,510,373,274"
"091 404 Oulunkylan peruspiiri,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",1412,1,629,461,321"
"091 404 Oulunkylan peruspiiri,""Miehet"",""Perusaste tai tuntematon"",1248,375,350,250,273"
"091 404 Oulunkylan peruspiiri,""Naiset"",""Kaikki koulutusasteet"",6532,671,2395,1756,1710"
"091 404 Oulunkylan peruspiiri,""Naiset"",""Tutkinnon suorittaneita yhteensa"",5175,310,2155,1552,1158"
"091 404 Oulunkylan peruspiiri,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1715,263,571,445,436"
"091 404 Oulunkylan peruspiiri,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",1753,46,711,546,450"
"091 404 Oulunkylan peruspiiri,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",1707,1,873,561,272"
"091 404 Oulunkylan peruspiiri,""Naiset"",""Perusaste tai tuntematon"",1357,361,240,204,552"
"091 284 Patola,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",8869,955,3442,2330,2142"
"091 284 Patola,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",7009,451,3015,2034,1509"
"091 284 Patola,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",2597,395,971,683,548"
"091 284 Patola,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",2186,54,940,643,549"
"091 284 Patola,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",2226,2,1104,708,412"
"091 284 Patola,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",1860,504,427,296,633"
"091 284 Patola,""Miehet"",""Kaikki koulutusasteet"",4095,471,1663,1104,857"
"091 284 Patola,""Miehet"",""Tutkinnon suorittaneita yhteensa"",3191,209,1405,937,640"
"091 284 Patola,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1327,191,550,370,216"
"091 284 Patola,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",872,17,397,253,205"
"091 284 Patola,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",992,1,458,314,219"
"091 284 Patola,""Miehet"",""Perusaste tai tuntematon"",904,262,258,167,217"
"091 284 Patola,""Naiset"",""Kaikki koulutusasteet"",4774,484,1779,1226,1285"
"091 284 Patola,""Naiset"",""Tutkinnon suorittaneita yhteensa"",3818,242,1610,1097,869"
"091 284 Patola,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1270,204,421,313,332"
"091 284 Patola,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",1314,37,543,390,344"
"091 284 Patola,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",1234,1,646,394,193"
"091 284 Patola,""Naiset"",""Perusaste tai tuntematon"",956,242,169,129,416"
"091 285 Verajamaki,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",2325,256,820,668,581"
"091 285 Verajamaki,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",1848,108,723,573,444"
"091 285 Verajamaki,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",574,95,211,150,118"
"091 285 Verajamaki,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",513,13,191,159,150"
"091 285 Verajamaki,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",761,0,321,264,176"
"091 285 Verajamaki,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",477,148,97,95,137"
"091 285 Verajamaki,""Miehet"",""Kaikki koulutusasteet"",1108,118,405,339,246"
"091 285 Verajamaki,""Miehet"",""Tutkinnon suorittaneita yhteensa"",887,52,344,282,209"
"091 285 Verajamaki,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",304,48,130,79,47"
"091 285 Verajamaki,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",216,4,72,76,64"
"091 285 Verajamaki,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",367,0,142,127,98"
"091 285 Verajamaki,""Miehet"",""Perusaste tai tuntematon"",221,66,61,57,37"
"091 285 Verajamaki,""Naiset"",""Kaikki koulutusasteet"",1217,138,415,329,335"
"091 285 Verajamaki,""Naiset"",""Tutkinnon suorittaneita yhteensa"",961,56,379,291,235"
"091 285 Verajamaki,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",270,47,81,71,71"
"091 285 Verajamaki,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",297,9,119,83,86"
"091 285 Verajamaki,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",394,0,179,137,78"
"091 285 Verajamaki,""Naiset"",""Perusaste tai tuntematon"",256,82,36,38,100"
"091 287 Verajalaakso,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",977,111,370,364,132"
"091 287 Verajalaakso,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",709,27,304,301,77"
"091 287 Verajalaakso,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",345,27,137,134,47"
"091 287 Verajalaakso,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",232,0,90,117,25"
"091 287 Verajalaakso,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",132,0,77,50,5"
"091 287 Verajalaakso,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",268,84,66,63,55"
"091 287 Verajalaakso,""Miehet"",""Kaikki koulutusasteet"",436,62,169,163,42"
